Act Name,Content,Act Number,Date & Year,Sections,Key Clauses,AI Summary
"Dowry Prohibition Act, 1961","Dowry Prohibition Act, 1961
(Act no. 28 of 1961)
An Act to prohibit the giving or taking the dowry
BE it enacted by Parliament in the Twelfth Year of the Republic of India as follows:-",Not Available,Not Available,Not Available,General,"The dowry system in India refers to the durable goods, cash, and real or movable property that the bride's family gives to the groom, his parents and his relatives to maintain a bride. Dowry is called ""दहेज"" in Hindi and as جہیز in Urdu.
This is similar to the durable goods, cash, and real or movable property that husband's family is forced to give to bride and her family to maintain the bride in case of divorce. This is termed as alimony. The difference between alimony and dowry is that only the later is considered a sin, while alimony is promoted by the Indian legal system. The dowry system can put great financial burden on the bride's family, while alimony can put great financial and emotional burden on husband's family. In some cases, the dowry system leads to crimes against women, ranging from emotional abuse and injury to even deaths. Sadly the alimony leads to the cases of death by suicide and it gets mostly unnoticed as this way of forcing groom or his family to suicide is not "
"Drugs and Cosmetics Act, 1940","Drugs and Cosmetics Act, 1940
[Act No. 23 of 1940]1
33I
An Act to regulate the import, manufacture, distribution
and sale of drugs
Whereas it is expedient to regulate the [import, manufacture, distribution and sale] of drugs
And whereas the Legislatures of all the Provinces have passed resolutions in terms of section 103 of the Government of India Act, 1935, in relation to such of the above-mentioned matters and matters ancillary thereto as are enumerated in List II of the Seventh Schedule to the said Act;
It is hereby enacted as follows:-",Act No. 23 of 1940,Not Available,section 103,General,"The Drugs and Cosmetics Act, 1940 is an act of the Parliament of India which regulates the import, manufacture and distribution of drugs in India. The primary objective of the act is to ensure that the drugs and cosmetics sold in India are safe, effective and conform to state quality standards. The related Drugs and Cosmetics Rules, 1945 contain provisions for classification of drugs under given schedules and provide guidelines for the storage, sale, display and prescription of each schedule."
"Emigration Act, 1983","Emigration Act, 1983
(Act no. 31 of 1983)",Not Available,Not Available,Not Available,General,"The Emigration Act, 1982 is an Act passed by the Government of India to regulate emigration of people from India, with the stated goal of reducing fraud or exploitation of Indian workers recruited to work overseas. The Act imposed a requirement of obtaining emigration clearance (also called POE clearance) from the office of Protector of Emigrants (POE), Ministry of External Affairs for people emigrating from India for work. As of 2017, this requirement applies only for people going to one of 18 listed countries."
"Enemy Property Act, 1968","The Enemy Property Act, 1968
[Act No. 34 of 1968]
[20th August, 1968.]",Act No. 34 of 1968,Not Available,Not Available,General,"The Enemy Property Act, 1968 is an Act of the Parliament of India which enables and regulates the appropriation of property in India owned by Pakistani nationals. The act was passed following the Indo-Pakistani War of 1965. Ownership is passed to the Custodian of Enemy Property for India, a government department. There are also movable properties categorized as enemy properties."
"Epidemic Diseases Act, 1897","The Epidemic Diseases Act, 1897
[Act No. 3 of 1897]
[4th February, 1897.]



Contents


 




Title



The Epidemic Diseases Act, 1897




Sections


Particulars




1



Short title and extent.




2


Power to take special measures and prescribe regulations as to dangerous epidemic disease.




2A


Powers of Central Government




3


Penalty.




4


Protection to persons acting under Act.






 Back



[Act No. 3 of 1897]",Act No. 3 of 1897,Not Available,Not Available,Penalty,"The Epidemic Diseases Act, 1897 is a law which was first enacted to tackle bubonic plague in Mumbai (formerly Bombay) in former British India. The law is meant for containment of epidemics by providing special powers that are required for the implementation of containment measures to control the spread of the disease."
"Factories Act, 1948","Factories Act, 1948
[Act No. 63 of Year 1948 dated 23rd. September, 1948]
An Act to consolidate and amend the law regulating labor in factories.
WHEREAS it is expedient to consolidate and amend the
law regulating labor in factories;
It is hereby enacted as follows:-",Not Available,Not Available,Not Available,General,"The Factories Act, 1948 (Act No. 63 of 1948), as amended by the Factories (Amendment) Act, 1987 (Act 20 of 1987), served to assist in formulating national policies in India with respect to occupational safety and health in factories and docks in India. It deals with various problems concerning safety, health, efficiency and well-being of the persons at workplaces. It was replaced by the Occupational Safety, Health and Working Conditions Code, 2020.
The Act is administered by the Ministry of Labour and Employment in India through its Directorate General Factory Advice Service & Labour Institutes (DGFASLI) and by the State Governments through their factory inspectorates. DGFASLI advises the Central and State Governments on administration of the Factories Act and coordinating the factory inspection services in the States.
The  Act is applicable to any factory using electricity and employing 10 or more workers and if not using power, employing 20 or more workers on any day of the preceding"
"Factoring Regulation Act, 2011","Factoring Regulation Act, 2011
[No. 12 of 2012]
[22nd January, 2012]",Not Available,"22nd January, 2012",Not Available,General,"The Factoring Regulation Act of 2011 is an Act of the Parliament of India to regulate factoring.


== References =="
"Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020","The Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020
[Act No. 20 of 2020]
[24th September, 2020.]",Act No. 20 of 2020,Not Available,Not Available,General,"The Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020 was an act of the Indian Government that creates a national framework for contract farming through an agreement between a farmer and a buyer before the production or rearing of any farm produces.
The act was collectively passed as part of the 2020 Farm Bills."
"Fiscal Responsibility and Budget Management Act, 2003","The Fiscal Responsibility and Budget Management Act, 2003
[Act No. 39 of 2003]
[26th August, 2003.]",Act No. 39 of 2003,Not Available,Not Available,General,"The Fiscal Responsibility and Budget Management Act, 2003 (FRBMA) is an Act of the Parliament of India to institutionalize financial discipline, reduce India's fiscal deficit, improve macroeconomic management and the overall management of the public funds by moving towards a balanced budget and strengthen fiscal prudence. The main purpose was to eliminate revenue deficit of the country (and subsequently building revenue surplus) and bring down the fiscal deficit to a manageable 3% of the GDP by March 2008. However, due to the 2007 international financial crisis, the deadlines for the implementation of the targets in the act was initially postponed and subsequently suspended in 2009. In 2011, given the process of ongoing recovery, Economic Advisory Council publicly advised the Government of India to reconsider reinstating the provisions of the FRBMA. N. K. Singh is currently the Chairman of the review committee for Fiscal Responsibility and Budget Management Act, 2003, under the Ministr"
"Foreign Contribution (Regulation) Act, 2010","Foreign Contribution (Regulation) Act, 2010
",Not Available,Not Available,Not Available,General,"The Foreign Contribution (regulation) Act, 2010 is an act of the Parliament of India, by the 42nd Act of 2010. It is a consolidating act whose scope is to regulate the acceptance and utilisation of foreign contribution or foreign hospitality by certain individuals or associations or companies and to prohibit acceptance and utilisation of foreign contribution or foreign hospitality for any activities detrimental to the national interest and for matters connected therewith or incidental thereto. It is designed to correct shortfalls in the predecessor act of 1976. The bill received presidential assent on 26 September 2010."
"Foreign Exchange Management Act, 1999","Foreign Exchange Management Act, 1999
(Act no 42 of 1999)
[42 of 1999]
An Act to consolidate and amend the law relating to foreign exchange with the objective of facilitating external trade and payments and for promoting the orderly development and maintenance of foreign exchange market in India
BE it enacted by Parliament in the Fiftieth Year of the Republic of India as follows:-",Not Available,Not Available,Not Available,General,"The Foreign Exchange Management Act, 1999 (FEMA) is an Act of the Parliament of India ""to consolidate and amend the law relating to foreign exchange with the objective of facilitating external trade and payments and for promoting the orderly development and maintenance of foreign exchange market in India"". It was passed on 29 December  1999 in parliament, replacing the Foreign Exchange Regulation Act (FERA). This act makes offences related to foreign exchange civil offenses. It extends to the whole of India, replacing FERA, which had become incompatible with the pro-liberalization policies of the Government of India. It enabled a new foreign exchange management regime consistent with the emerging framework of the World Trade Organization (WTO). It also paved the way for the introduction of the Prevention of Money Laundering Act, 2002, which  came into effect on 1 July 2005. Starting in 2004, the Act also includes provisions for the Liberalised Remittance Scheme (LRS), this provision al"
"Foreign Marriage Act, 1969","The Foreign Marriage Act, 1969
(Act no. 33 of 1969)
Preamble
No.33 OF 1969
[31st August, 1969]
An Act to make provision relating to marriages of citizens of India outside India.
BE it enacted by Parliament In the Twentieth Year of the Republic of India as follows",Not Available,"31st August, 1969",Not Available,General,"The Foreign Marriage Act, 1969 is an Act of the Parliament of India enacted on 31 August 1969. It was enacted due to the recommendations of the Third Law Commission with the object of streamlining the law relating to recognition of marriages solemnized outside India between Indian citizens, or an Indian citizen and a foreign citizen."
"Foreigners Act, 1946","The Foreigners Act, 1946
An Act to confer upon the Central Government certain powers in respect of foreigners.
Whereas it is expedient to provide for the exercise by the Central Government of certain powers in respect of the entry of foreigners into  India , their presence therein and their departure there from;
It is hereby enacted as follows:",Not Available,Not Available,Not Available,General,"The Foreigners Act, 1946 is an Act of the Imperial Legislative Assembly enacted to grant the certain powers to the Interim Government of India in matters of foreigners in India. The Act was enacted before India became independent."
"Fugitive Economic Offenders Act, 2018","The Fugitive Economic Offenders Act, 2018
[Act No 17 of 2018]
[31st July, 2018.]",Not Available,Not Available,Not Available,General,"The Fugitive Economic Offenders Act, 2018 empowers any special court (set up under the Prevention of Money Laundering Act, 2002) to confiscate all properties and assets of economic offenders who are charged in offences measuring over INR 100 crores and are evading prosecution by remaining outside the jurisdiction of Indian courts. The bill for the act was introduced in the Lok Sabha on 12 March 2018 and passed on 25 July 2018. The Act also provides for provisional attachment of all properties of the offender and confiscation of the same on declaration as fugitive economic offender by the Special Court.
The bill has been subject to mixed reception among legal commentators."
"Geographical Indications of Goods (Registration and Protection) Act, 1999","Geographical Indications of Goods (Registration and Protection) Act, 1999",Not Available,Not Available,Not Available,General,"The Geographical Indications of Goods (Registration and Protection) Act, 1999 (GI Act) is a sui generis Act of the Parliament of India for protection of geographical indications in India. India, as a member of the World Trade Organization (WTO), enacted the Act to comply with the Agreement on Trade-Related Aspects of Intellectual Property Rights. The GI tag ensures that only those registered as authorised users (or at least those residing inside the geographic territory) are allowed to use the popular product name. Darjeeling tea became the first GI tagged product in India, in 2004–05, since then 370 goods had been added to the list as of August 2020."
"Gram Nyayalayas Act, 2008","Gram Nyayalayas Act, 2008
[ACT NO. 4 OF 2009 [7th January, 2009.]
An Act to provide for the establishment of Gram Nyayalayas at the grass roots level for the purposes of providing access to justice to the citizens at their doorsteps and to ensure that opportunities for securing justice are not denied to any citizen by reason of social, economic or other disabilities and for matters connected therewith or incidental thereto.
BE it enacted by Parliament in the Fifty-ninth Year of the Republic of India as follows:-",Not Available,Not Available,Not Available,General,"Gram Nyayalayas Act, 2008 is an Act of Parliament of India enacted for establishment of Gram Nyayalayas or village courts for speedy and easy access to justice system in the rural areas of India. The Act came into force from 2 October 2009. However, the Act has not been enforced properly, with only 208 functional Gram Nyayalayas in the country (as of 3 September 2019) against a target of 5000 such courts. The major reasons behind the non-enforcement includes financial constraints, reluctance of lawyers, police and other government officials."
"High Denomination Bank Notes (Demonetisation) Act, 1978","The High Denomination Bank Notes (Demonetisation) Act, 1978
[Act No. 11 of 1978]
[30th March, 1978.]",Act No. 11 of 1978,Not Available,Not Available,General,"The High Denomination Bank Notes (Demonetisation) Act, 1978 was an act of the Indian Parliament that demonetized the high-denomination banknotes of ₹1000, ₹5000, and ₹10000. It was first introduced as the High Denomination Bank Notes (Demonetisation) Ordinance, 1978, by the then President of India Neelam Sanjiva Reddy. The then Prime Minister of India, Morarji Desai of Janata Party, and Finance Minister Hirubhai M. Patel were considered key architects of the policy, while RBI Governor I. G. Patel was opposed to it.: 128  
As a result of this legislation, 93% of the total currency notes in circulation were exchanged, while the remaining went out of circulation or were not exchanged.: 34  It was repealed by the Jan Vishwas (Amendment of Provisions) Act, 2023."
"Hindu Adoptions and Maintenance Act, 1956"," Hindu Adoptions and Maintenance Act, 1956
[Act no. 78 of Year 1956, dated 21st. December, 1956]
An Act to amend and codify the law relating to adoptions and maintenance among Hindus.
Be it enacted by Parliament in the Seventh Year of the Republic of India as follows:-",Not Available,Not Available,Not Available,General,"The Hindu Adoptions and Maintenance Act (HAMA) was enacted in India in 1956 as part of the Hindu Code Bills. The other legislations enacted during this time include the Hindu Marriage Act (1955), the Hindu Succession Act (1956), and the Hindu Minority and Guardianship Act (1956). All of these acts were put forth under the leadership of Jawaharlal Nehru, and were meant to codify and standardise the prevailing Hindu legal tradition. The Adoptions and Maintenance Act of 1956 dealt specifically with the legal process of adopting children by a Hindu adult, and with the legal obligations of a Hindu to provide ""maintenance"" to various family members including their wife or parents, and in-laws."
"Hindu Marriage Act, 1955","Hindu Marriage Act, 1955
ACT NO.25 OF 1955
[18th May, 1955]
An Act to amend and codify the law relating to marriage among Hindus.
BE it enacted by Parliament in the Sixth Year of the Republic of India as follows:-",Not Available,"18th May, 1955",Not Available,General,"The Hindu Marriage Act (HMA) is an act of the Parliament of India enacted in 1955. Three other important acts were also enacted as part of the Hindu Code Bills during this time: the Hindu Succession Act (1956), the Hindu Minority and Guardianship Act (1956), the Hindu Adoptions and Maintenance Act (1956)."
"Hindu Minority and Guardianship Act, 1956","Hindu Minority and Guardianship Act, 1956
Act No.32 of 1956
An Act to amend and codify certain parts of the law relating to minority and guardianship among Hindus.
[25th August, 1956]
Be it enacted by Parliament in the Seventh Year of the Republic of India as follows:-",Act No.32 of 1956,"25th August, 1956",Not Available,General,"The Hindu Minority and Guardianship Act was established in 1956 as part of the Hindu Code Bills. Three other important acts were also created during this time: the Hindu Marriage Act (1955), the Hindu Succession Act (1956), and the Hindu Adoptions and Maintenance Act (1956). All of these acts were put forth under the leadership of Jawaharlal Nehru, and were meant to modernize the prevailing Hindu legal tradition. The Hindu Minority and Guardianship Act of 1956 was meant to enhance the Guardians and Wards Act of 1890, not serve as its replacement. This act specifically serves to define guardianship relationships between adults and minors, as well as between people of all ages and their respective property."
"Hindu Succession Act, 1956","Hindu Succession Act, 1956
[Act No. 30 of Year 1956, dated 17th. June, 1956]
An Act to amend and codify the law relating to intestate succession among Hindus
Be it enacted by Parliament in the Seventh Year of the Republic of India as follows:-",Not Available,Not Available,Not Available,General,"The Hindu Succession Act, 1956 is an Act of the Parliament of India enacted to amend, codify and secularize the law relating to intestate or unwilled succession, among Hindus, Buddhists, Jains, and Sikhs. The Act lays down a uniform and comprehensive system of inheritance and succession into one Act. The Hindu woman's limited estate is abolished by the Act. Any property possessed by a Hindu female is to be held by her as absolute property and she is given full power to deal with it and dispose it of by will as she likes. Some parts of this Act were amended in December 2004 by the Hindu Succession (Amendment) Act, 2005."
"Homoeopathy Central Council Act, 1973","Homoeopathy Central Council Act, 1973
[Act No. 59 of 1973 dated 19th. December, 1973]
An Act to provide for the constitution of a Central Council of Homoeopathy and the maintenance of a Central Register of Homoeopathy and for matters connected therewith.
BE it enacted by Parliament in the Twenty-fourth Year of the  Republic of India as follows:-",Act No. 59 of 1973,Not Available,Not Available,General,"The Homoeopathy Central Council Act, 1973, (Act 59 of 1973), is a now-repealed Act of the Parliament of India to primarily structure the role of the Central Council of Homoeopathy and to enable the regularization of the maintenance of a central register of issues and entities related to the field of homoeopathy. It included five chapters when it was initially passed. The Act was amended in December 2002, via Homoeopathy Central Council Amendment Act, 2002 (No. 51 of 2002). The Act was replaced by the National Commission for Homoeopathy Act, 2020 with effect from 7 October 2020."
"Human Immunodeficiency Virus and Acquired Immune Deficiency Syndrome (Prevention and Control) Act, 2017","The Human Immunodeficiency Virus and Acquired Immune Deficiency Syndrome (Prevention and Control) Act, 2017
[Act No. 16 of 2017]
[20th April, 2017.]",Act No. 16 of 2017,Not Available,Not Available,General,"The Human Immunodeficiency Virus and Acquired Immune Deficiency Syndrome (Prevention and Control) Act, 2017, often shortened to the HIV/AIDS Prevention Act, is an act of the Parliament of India that provides for controlling and preventing of HIV/AIDS and securing the rights of individuals diagnosed with HIV/AIDS. The bill for the act was introduced in the Rajya Sabha on 11 February 2014 and was referred to a Standing Committee on 24 February 2014, which submitted its report on 29 April 2015. After few amendments to the original 2014 bill, it was passed by the Rajya Sabh on 21 March 2017 and the Lok Sabha on 11 April 2017. It received Presidential assent on 20 April 2017, and became effective from 10 September 2018. The HIV/AIDS Prevention Act originated from a draft bill submitted by Lawyers Collective, a non-governmental organization, to the National AIDS Control Organisation (NACO) in 2006. The act penalises propagation of hate against HIV/AIDS affected persons, ensures the right of "
"Illegal Migrants (Determination by Tribunals) Act, 1983","The Illegal Migrants (Determination by Tribunals) Act, 1983
[Act No. 39 of 1983]
[25th December, 1983.]",Act No. 39 of 1983,Not Available,Not Available,General,"The Illegal Migrants (Determination by Tribunals) (IMDT) Act was an Act of the Parliament of India enacted in 1983 by the Indira Gandhi government. It was struck down by the Supreme Court of India in 2005 in Sarbananda Sonowal v. Union of India.
The IMDT Act described the procedures to detect illegal immigrants (from Bangladesh) and expel them from Assam. The Act was pushed through mainly on the grounds that it provided special protections against undue harassment to the “minorities” affected by the Assam Agitation. It was applicable to the state of Assam only whereas in other states, detection of foreigners is done under The Foreigners Act, 1946.
The act made it difficult to deport illegal immigrants from Assam."
"Indian Christian Marriage Act, 1872","Indian Christian Marriage Act,1872
[Act No. 15 of 1872 dated 18th. July, 1872]
An Act to consolidate and amend the law relating to the solemnization in India of the marriages of Christians.
WHEREAS it is expedient to consolidate and amend the law relating to the solemnization in India of the marriages of persons professing the Christian religion;
It is hereby enacted as follows:-",Act No. 15 of 1872,Not Available,Not Available,General,"The Indian Christian Marriage Act of 1872 is an act of the Parliament of India governing the legal marriage of Indian Christians. It was enacted on 18 July 1872 and applies throughout India, excluding the territories (Travancore-Cochin, Manipur and Jammu and Kashmir.) which, immediately before 1 November 1956, were comprised into the States of Kerala and Manipur, and the Union Territories of Jammu and Kashmir and Ladakh. 
According to the act, a marriage under the 1872 law is legitimate if at least one of the parties is Christian. An ordained minister of any church in India, a clergyman of the Church of Scotland, a marriage registrar or a special licensee may get an aspiring couple married under the act. The marriage performer issues a marriage certificate. This certificate is recorded with the Registrar of Marriage (who is appointed by the government). As is common in other Indian marriage acts, the minimum age is 21 for the groom and 18 for the bride. 
The marriage ceremony must occu"
"Indian Contract Act, 1872","Indian Contract Act, 1872
[Act No. 9 of Year 1872, dated 25th. April, 1872]
WHEREAS it is expedient to define and amend certain parts of the law relating to contracts;
It is hereby enacted as follows:-",Not Available,Not Available,Not Available,Penalty,"The Indian Contract Act, 1872 prescribes the law relating to contracts in India and is the key regulating Indian contract law. Then the principles of English Common Law. It is applicable to all the states of India. It determines the circumstances in which promises made by the parties to a contract shall be legally binding. Under Section 2(h), the Indian Contract Act defines a contract as an agreement enforceable by Law."
"Indian Evidence Act, 1872","Indian Evidence Act, 1872
[Act No. 1 of 1872]1
Whereas it is expedient to consolidate, define and amend the law of Evidence;
It is hereby enacted as follows:-",Act No. 1 of 1872,Not Available,Not Available,Penalty,"The Indian Evidence Act, originally passed in India by the Imperial Legislative Council in 1872, during the British Raj, contains a set of rules and allied issues governing admissibility of evidence in the Indian courts of law.
The India Evidence Act  was replaced by the Bharatiya Sakshya Adhiniyam on 1st July 2024."
"Indian Forest Act, 1927","Indian Forest Act, 1927
(16 of 1927)
(21st September, 1927)
An Act to consolidate the law relating to forests, the transit of forest-produce and the duty livable on timber and other forest produce.
WHEREAS it is expedient to consolidate the law relating to forests, the transit of forest-produce and the duty livable on timber and other forest-produce; It is hereby enacted as follows:-",Not Available,Not Available,Not Available,General,"The Indian Forest Act, 1927 was largely based on previous Indian Forest Acts implemented under the British Raj. The most famous one was the Indian Forest Act of 1878. Both the 1878 Act and the 1927 Act sought to consolidate and reserve the areas having forest cover, or significant wildlife, to regulate movement and transit of forest produce, and duty leviable on timber and other forest produce. It also defines the procedure to be followed for declaring an area to be a Reserved Forest, a Protected Forest or a Village Forest. It defines what is a forest offence, what are the acts prohibited inside a Reserved Forest, and penalties leviable on violation of the provisions of the Act."
"Indian Institutes of Management Act, 2017","The Indian Institutes of Management Act, 2017
[Act No. 33 of 2017]
[31st December, 2017.]",Act No. 33 of 2017,Not Available,Not Available,General,"The Indian Institute of Management Act, 2017 (IAST: Bhāratīya Prabaṃdhana Saṃsthāna Adhiniyama, 2017) is an Indian legislation. The Act declared the Indian Institutes of Management as institutions of national importance and enabled them to offer degrees and further make substantial changes in their administration."
"Indian Stamp Act, 1899"," Indian Stamp Act, 1899
[Act No. 2 of Year 1899]
An Act to consolidate and amend the law relating to stamps
Whereas it is expedient to consolidate and amend the law relating to stamps;
It is hereby enacted as follows:-",Not Available,Not Available,Not Available,General,"The Indian Stamp Act of 1899 (2 of 1899), is an in-force Act of the Government of India for the charging of stamp duty on instruments recording transactions."
"Indian Telegraph Act, 1885","Indian Telegraph Act, 1885
[13 of 1885, dt. 22nd. July, 1885]
An Act to amend the law relating to telegraphs in India
Whereas it is expedient to amend the law relating to telegraphs in India;
It is hereby enacted as follows:-",Not Available,Not Available,Not Available,General,"The Indian Telegraph Act, 1885 was the enabling legislation in India which governed the use of wired and wireless telegraphy, telephones, teletype, radio communications and digital data communications. It gives the Government of India exclusive jurisdiction and privileges for establishing, maintaining, operating, licensing and oversight of all forms of wired and wireless communications within Indian territory. It also authorizes government law enforcement agencies to monitor/intercept communications and tap phone lines under conditions defined within the Indian Constitution. The act came into force on 1 October 1885. Since that time, numerous amendments have been passed to update the act to respond to changes in technology.
The legislation was repealed after the passage of the Telecommunications Bill 2023."
"Indian Treasure Trove Act, 1878","The Indian Treasure Trove Act, 1878
[Act No. 6 of 1878]
[13th February, 1878.]",Act No. 6 of 1878,Not Available,Not Available,General,"Indian Treasure Trove Act, 1878 (ACT NO. VI OF 1878.1) (12 February 1878) was an Act to amend the law relating to treasures found in India. It defined treasure specifically as ""anything of any value hidden in the soil"" and worth as little as 10 rupees (usually around $0.15 or £0.10)."
"Indian Trusts Act, 1882","Indian Trusts Act, 1882
[Act No. 2 of Year 1882]
An Act to define and amend the law relating to private trusts and trustees
Whereas it is expedient to define and amend the law relating to private trusts and trustees; it is hereby enacted as follows:-",Not Available,Not Available,Not Available,Penalty,"Indian Trusts Act, 1882 is a law in India relating to private trusts and trustees. The Act defines what would lawfully be called as a trust and who can legally be its trustees and provides a definition for them. The Indian Trusts Amendment Bill of 2015 amended the Act and removed some restrictions on investment of the monetary assets by the trust in certain investments. But at the same time, it enabled the government to scrutinise the trusts' investments at will"
"Industrial Disputes Act, 1947","Industrial Disputes Act, 1947
[Act No. 14 of Year 1947 dated 11th. March, 1947]
An Act to make provision for the investigation and settlement of industrial disputes, and for certain other purposes
WHEREAS it is expedient to make provision for the investigation and settlement of industrial disputes, and for certain other purposes hereinafter appearing:
It is hereby enacted as follows:-",Not Available,Not Available,Not Available,General,"The Industrial Disputes Act, 1947 extended to the whole of India and regulated Indian labour law concerning trade unions as well as Individual workman employed in any industry within the territory of Indian mainland. Enacted on 11 March 1947 and It came into force 1 April 1947. It was replaced by the Industrial Relations Code, 2020."
"Information Technology Act, 2000","Information Technology Act, 2000
(Act no. of 2000)",Not Available,Not Available,Not Available,General,"The Information Technology Act, 2000 (also known as ITA-2000, or the IT Act) is an Act of the Indian Parliament (No 21 of 2000) notified on 17 October 2000. It is the primary law in India dealing with cybercrime and electronic commerce.
Secondary or subordinate legislation to the IT Act includes the Intermediary Guidelines Rules 2011 and the Information Technology (Intermediary Guidelines and Digital Media Ethics Code) Rules, 2021."
"Institutes of Technology Act, 1961","The Institutes of Technology Act, 1961
[Act No. 59 of 1961]
[19th December, 1961.]",Act No. 59 of 1961,Not Available,Not Available,General,"The Institutes of Technology Act, 1961 is a legislation in India giving legal status, including degree granting powers, to the Indian Institutes of Technology (IITs). It was notified in the gazette as Act number 59 of 1961 on 20 December 1961 and came into effect on 1 April 1962. The Act also declares these institutes as Institutes of National Importance."
"Insurance Act, 1938","The Insurance Act, 1938
[Act No. 4 of 1938]
 [26th February, 1938.]",Act No. 4 of 1938,Not Available,Not Available,General,"The Insurance Act, 1938 is a law originally passed in 1938 in British India to regulate the insurance sector. It provides the broad legal framework within which the industry operates."
"Interest Tax Act, 1974","The Interest Tax Act, 1974
[Act No. 45 of 1974]
[23rd September, 1974.]



Contents



Sections
Particulars


Title
The Interest Tax Act, 1974


1.
Short title and extent


2.
Definitions


3.
Tax authorities


4.
Charge of tax


5.
Scope of chargeable interest


6.
Computation of chargeable interest


7.
Return of chargeable interest


[Act No. 45 of 1974]
[23rd September, 1974.]",Act No. 45 of 1974,Not Available,Not Available,General,"The Interest Tax Act, 1974 was an Act that imposed a special tax on interest accrued in specified cases. The Act applied to the whole of India, including all the States and Union Territories with no exceptions. The Act is no longer applicable with regard to chargeable interest accruing after 31 March 2000."
"International Financial Services Centres Authority Act, 2019","The International Financial Services Centres Authority Act, 2019
[Act No. 50 of 2019]
[19th December, 2019.]",Act No. 50 of 2019,Not Available,Not Available,General,"The International Financial Services Centres Authority (IFSCA) is the regulatory body for the Indian special economic zones such as the GIFT International Financial Services Centre for International Financial Services and commodity markets under the ownership of the Government of India. It was established in 2020, under the International Financial Services Centres Authority Act, 2019. The International Financial Services Centre (IFSC) is located in Gujarat International Finance Tec-City (GIFT City)."
"Jammu and Kashmir Reorganisation Act, 2019","The Jammu and Kashmir Reorganisation Act, 2019
[Act No. 34 of 2019]
[9th August, 2019.]",Act No. 34 of 2019,Not Available,Not Available,General,"The Jammu and Kashmir Reorganisation Act, 2019 is an act of the parliament of India containing provisions to reconstitute the  state of Jammu and Kashmir into two  union territories (UTs) called Jammu and Kashmir, and Ladakh, and becoming effective on 31 October 2019. A bill for the act was introduced by the Minister of Home Affairs, Amit Shah, in the Rajya Sabha on 5 August 2019 and was passed on the same day. It was then passed by the Lok Sabha on 6 August 2019 and it received the president's assent on 9 August 2019.
The act consists of 103 clauses, extends 106 central laws to the UTs, repeals 153 state laws, and abolishes the Jammu and Kashmir Legislative Council among other things. The introduction of the bill was preceded by a presidential order which indirectly amended Article 370 of the Indian constitution and revoked Jammu and Kashmir's special status. The act has also given powers to the central government to pass a number of executive orders in relation to both the union terr"
"Judges (Protection) Act, 1985","Judges (Protection) Act, 1985
NO.59 OF 1985
[6th September, 1985.]
An Act for securing additional protection for Judges and others acting Judicially and for matters connected therewith.
BE it enacted by Parliament in the Thirty-sixth Year of the  Republic of India as follows:-",Not Available,Not Available,Not Available,General,The Judges Act is a 1985 act of the Parliament of India which was enacted in order to provide absolute judicial immunity to judges and others acting in a judicial capacity.
"Juvenile Justice (Care and Protection of Children) Act, 2000","Juvenile Justice (Care and Protection of Children) Act, 2000
An Act to consolidate and amend the law relating to juveniles in conflict with law and children in need of care and protection, by providing for proper care, protection and treatment by catering to their development needs, and by adopting a child-friendly approach in the adjudication and disposition of matters in the best interest of children and for their ultimate rehabilitation and for matters connected therewith or incidental thereto.
WHEREAS the Constitution has, in several provisions, including clause (3) of article 15, clauses (e) and (f) of article 39, articles 45 and 47, impose on the State a primary responsibility of ensuring that all the needs of children are met and that their basic human rights are fully protected;
AND WHEREAS, the General Assembly of the United Nations has adopted the Convention on the Rights of the Child on the 20th November, 1989;
AND WHEREAS, the Convention on the Rights of the Child has prescribed a set of standards to be adhered to by all State parties in securing the best interests of the child;
AND WHEREAS, the Convention on the Rights of the Child emphasises social reintegration of child victims, to the extent possible, without resorting to judicial proceedings;
AND WHEREAS, the Government of India has ratified the Convention on the 11th December, 1992.",Not Available,Not Available,Not Available,General,"The Juvenile Justice (Care and Protection of Children) Act, 2000 is the primary legal framework for juvenile justice in India. The act provides for a special approach towards the prevention and treatment of juvenile delinquency and provides a framework for the protection, treatment and rehabilitation of children in the purview of the juvenile justice system. This law, brought in compliance of the 1989 UN Convention on the Rights of the Child (UNCRC), repealed  the earlier Juvenile Justice Act of 1986 after India signed and ratified the UNCRC in 1992. In the wake of Delhi gang rape (16 Dec 2012), the law suffered a nationwide criticism owing to its helplessness against crimes where juveniles get involved in heinous crimes like rape and murder. In 2015, responding to the public sentiment, both the houses of parliament in India further amended the bill that proposed adult-like treatment for juveniles aged 16–18 above accused of heinous crimes. The lower house, i.e. Lok Sabha passed the bi"
